,spk,txt,emo,emo_address,wav_address
0,bea,0172,sleepiness,/home/ubuntu/efs/sts/emo_v/bea/sleepiness_169-196_0172.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/sleepiness_169-196_0172.wav
1,bea,0275,disgust,/home/ubuntu/efs/sts/emo_v/bea/disgust_253-280_0275.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/disgust_253-280_0275.wav
2,bea,0349,neutral,/home/ubuntu/efs/sts/emo_v/bea/neutral_337-364_0349.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/neutral_337-364_0349.wav
3,bea,0161,anger,/home/ubuntu/efs/sts/emo_v/bea/anger_169-196_0161.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/anger_169-196_0161.wav
4,bea,0251,neutral,/home/ubuntu/efs/sts/emo_v/bea/neutral_225-252_0251.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/neutral_225-252_0251.wav
5,bea,0286,amused,/home/ubuntu/efs/sts/emo_v/bea/amused_281-308_0286.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/amused_281-308_0286.wav
6,bea,0374,sleepiness,/home/ubuntu/efs/sts/emo_v/bea/sleepiness_365-392_0374.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/sleepiness_365-392_0374.wav
7,bea,0302,sleepiness,/home/ubuntu/efs/sts/emo_v/bea/sleepiness_281-307_0302.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/sleepiness_281-307_0302.wav
8,bea,0090,neutral,/home/ubuntu/efs/sts/emo_v/bea/Neutral_85-112_0090.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/Neutral_85-112_0090.wav
9,bea,0231,anger,/home/ubuntu/efs/sts/emo_v/bea/anger_225-252_0231.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/anger_225-252_0231.wav
10,bea,0181,neutral,/home/ubuntu/efs/sts/emo_v/bea/neutral_169-196_0181.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/neutral_169-196_0181.wav
11,bea,0242,sleepiness,/home/ubuntu/efs/sts/emo_v/bea/sleepiness_225-252_0242.wav.emo.npy,/home/ubuntu/efs/sts/emo_v/bea/sleepiness_225-252_0242.wav
