,spk,txt,emo,tense,emo_address,wav_address
0,1035,IEO,FEA,MD,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1035_IEO_FEA_MD.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1035_IEO_FEA_MD.wav
1,1033,IWL,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1033_IWL_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1033_IWL_DIS_XX.wav
2,1016,WSI,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1016_WSI_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1016_WSI_SAD_XX.wav
3,1089,IEO,HAP,LO,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1089_IEO_HAP_LO.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1089_IEO_HAP_LO.wav
4,1069,DFA,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1069_DFA_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1069_DFA_SAD_XX.wav
5,1069,WSI,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1069_WSI_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1069_WSI_DIS_XX.wav
6,1022,IEO,DIS,MD,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1022_IEO_DIS_MD.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1022_IEO_DIS_MD.wav
7,1046,IWL,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1046_IWL_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1046_IWL_FEA_XX.wav
8,1055,TIE,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1055_TIE_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1055_TIE_ANG_XX.wav
9,1050,ITH,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1050_ITH_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1050_ITH_SAD_XX.wav
10,1055,ITS,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1055_ITS_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1055_ITS_NEU_XX.wav
11,1081,WSI,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1081_WSI_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1081_WSI_ANG_XX.wav
12,1022,IEO,ANG,LO,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1022_IEO_ANG_LO.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1022_IEO_ANG_LO.wav
13,1047,TAI,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1047_TAI_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1047_TAI_HAP_XX.wav
14,1035,TIE,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1035_TIE_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1035_TIE_NEU_XX.wav
15,1075,MTI,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1075_MTI_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1075_MTI_FEA_XX.wav
